Interessado,UF,Tipo de interessado,Tipo de operação,Finalidade,Tipo de credor,Credor,Moeda,Valor,Número do Processo/PVL,Código IBGE,Status,Ano,Mes,Dia
Hidrolândia,GO,Município,Operação Contratual Interna,Regularização de Dívida - Água e Esgoto,Empresa Estatal,Saneamento de Goiás,Real,104910.8,17944.001700/2008-20,5209705.0,Em Análise,2008,9,25
Honório Serpa,PR,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3000000.0,PVL02.000065/2024-11,4109658.0,Em Análise,2024,3,21
Iaçu,BA,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,9970000.0,17944.102738/2021-96,2911907.0,Em Análise,2023,5,30
Igrapiúna,BA,Município,Operação Contratual Interna,Regularização de Dívida - Água e Esgoto,Empresa Estatal,Empresa Baiana de Águas e Saneamento S/A,Real,94971.7,17944.000929/2012-23,2913457.0,Em Análise,2016,10,13
Imbaú,PR,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,6000000.0,17944.101541/2022-11,4110078.0,Em Análise,2023,8,28
Ipaba,MG,Município,Operação Contratual Interna,Multissetorial,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,4500000.0,PVL02.002471/2023-37,3131158.0,Em Análise,2023,7,20
Ipaba,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,4500000.0,PVL02.002529/2023-42,3131158.0,Em Análise,2023,7,20
Iporã do Oeste,SC,Município,Operação Contratual Interna (com garantia da União),Amortização de dívida,Instituição Financeira Nacional,Caixa Econômica Federal,Real,4000000.0,17944.103103/2021-14,4207650.0,Em Análise,2021,11,18
Itabaiana,SE,Município,Operação Contratual Interna,Regularização de Dívida - Água e Esgoto,Empresa Estatal,Companhia de Saneamento de Sergipe,Real,668006.97,17944.001194/2008-79,2802908.0,Em Análise,2008,10,23
Itaíba,PE,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,10000000.0,17944.101160/2022-31,2607505.0,Em Análise,2024,4,25
Itanhomi,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2000000.0,PVL02.005907/2022-69,3133204.0,Em Análise,2022,8,17
Itapeva,MG,Município,Operação Contratual Interna,"Aquisição de terrenos, imóveis e/ou construção de instalações",Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,1500000.0,PVL02.007264/2019-92,3133600.0,Em Análise,2019,12,20
Itatuba,PB,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Não Estatal,Sociedade Anônima de Eletrificação da Paraíba,Real,158808.07,17944.001706/2008-05,2507200.0,Em Análise,2008,10,2
Ivinhema,MS,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,5170000.0,PVL02.003162/2023-84,5004700.0,Em Análise,2024,1,4
Ivinhema,MS,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,5360000.0,PVL02.003164/2023-73,5004700.0,Em Análise,2024,1,4
Jaboticaba,RS,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco do Estado do Rio Grande do Sul,Real,1000000.0,PVL02.000626/2020-58,4310850.0,Em Análise,2020,3,9
Jaciara,MT,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Não Estatal,Centrais Elétricas Matogrossenses S.A.,Real,937269.68,17944.000141/2010-55,5104807.0,Em Análise,2023,9,12
Jaciara,MT,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Não Estatal,Centrais Elétricas Matogrossenses S.A.,Real,1600948.59,17944.001669/2009-16,5104807.0,Em Análise,2023,9,12
Jaciara,MT,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,10000000.0,PVL02.001293/2023-27,5104807.0,Em Análise,2023,9,5
Jaraguá,GO,Município,Operação Contratual Interna,Regularização de Dívida - Água e Esgoto,Empresa Estatal,Saneamento de Goiás,Real,364140.56,17944.001919/2008-29,5211800.0,Em Análise,2013,3,26
Jenipapo de Minas,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,980000.0,PVL02.003284/2019-94,3135456.0,Em Análise,2019,10,22
Jenipapo de Minas,MG,Município,Operação Contratual Interna,"Aquisição de terrenos, imóveis e/ou construção de instalações",Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,270000.0,PVL02.003285/2019-39,3135456.0,Em Análise,2019,10,22
Jenipapo de Minas,MG,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Estatal,Companhia Energética de Minas Gerais S/A,Real,1949176.73,17944.103917/2019-26,3135456.0,Em Análise,2022,5,25
Jequitinhonha,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,1000000.0,PVL02.008046/2019-75,3135803.0,Em Análise,2023,10,23
Jequitinhonha,MG,Município,Operação Contratual Interna,"Aquisição de terrenos, imóveis e/ou construção de instalações",Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,1000000.0,PVL02.008047/2019-10,3135803.0,Em Análise,2023,10,23
Jutaí,AM,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Estatal,Companhia Energética do Amazonas,Real,1094740.05,17944.104646/2019-26,1302306.0,Em Análise,2019,12,17
Kaloré,PR,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,317560.81,PVL02.006183/2021-90,4113106.0,Em Análise,2022,1,3
Lagoão,RS,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,BADESUL Desenvolvimento S.A. - Agência de Fomento/RS,Real,430000.0,PVL02.000023/2018-31,4311254.0,Em Análise,2021,12,15
Lontra,MG,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Estatal,Companhia Energética de Minas Gerais S/A,Real,442898.32,17944.000347/2011-66,3138658.0,Em Análise,2018,2,8
Machacalis,MG,Município,Operação Contratual Interna,Regularização de Dívida - Água e Esgoto,Empresa Estatal,Companhia de Saneamento de Minas Gerais,Real,0.0,17944.101550/2018-25,3138906.0,Em Análise,2019,2,5
Madre de Deus de Minas,MG,Município,Operação Contratual Interna,Desenvolvimento sustentável,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,1500000.0,PVL02.000461/2022-86,3139102.0,Em Análise,2023,10,23
Mairi,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2000000.0,PVL02.004374/2023-89,2920106.0,Em Análise,2024,1,29
Mâncio Lima,AC,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1800000.0,17944.101309/2020-11,1200336.0,Em Análise,2020,6,9
Manoel Ribas,PR,Município,Operação Contratual Interna,Pró-Moradia,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2400000.0,PVL02.004406/2023-46,4114500.0,Em Análise,2024,2,1
Maracanaú,CE,Município,Operação Contratual Interna,Caminho da Escola,Instituição Financeira Nacional,Banco do Nordeste do Brasil S/A,Real,1877996.0,PVL02.001070/2024-41,2307650.0,Em Análise,2024,7,2
Marapoama,SP,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1200000.0,17944.103552/2021-54,3528858.0,Em Análise,2022,3,4
Marechal Floriano,ES,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Estado do Espírito Santo,Real,7000000.0,PVL02.000086/2024-36,3203346.0,Em Análise,2024,2,29
Mata de São João,BA,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,10000000.0,17944.101474/2022-34,2921005.0,Em Análise,2022,5,10
Miguelópolis,SP,Município,Operação Contratual Interna (com garantia da União),Aporte de capital,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2000000.0,17944.101443/2020-11,3529708.0,Em Análise,2020,4,6
Miranda,MS,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,10000000.0,17944.101396/2022-78,5005608.0,Em Análise,2023,11,3
Mirante da Serra,RO,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Estatal,Centrais Elétricas de Rondônia S/A,Real,303125.89,17944.001681/2008-31,1101302.0,Em Análise,2013,4,17
Mundo Novo,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,3228445.0,PVL02.004221/2021-70,2922102.0,Em Análise,2022,6,20
Muricilândia,TO,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3500000.0,PVL02.006603/2021-38,1713957.0,Em Análise,2023,4,17
Nerópolis,GO,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,4600000.0,17944.104850/2019-47,5214507.0,Em Análise,2020,5,5
Nhandeara,SP,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado de São Paulo,Real,150000.0,PVL02.000756/2018-76,3532603.0,Em Análise,2018,6,20
Nilo Peçanha,BA,Município,Operação Contratual Interna,Regularização de Dívida - Água e Esgoto,Empresa Estatal,Empresa Baiana de Águas e Saneamento S/A,Real,245894.72,17944.000973/2012-33,2922607.0,Em Análise,2014,6,9
Nilo Peçanha,BA,Município,Operação Contratual Interna,Regularização de Dívida - Água e Esgoto,Empresa Estatal,Empresa Baiana de Águas e Saneamento S/A,Real,51649.0,17944.001186/2012-17,2922607.0,Em Análise,2014,6,10
Nossa Senhora de Lourdes,SE,Município,Operação Contratual Interna,"Aquisição de terrenos, imóveis e/ou construção de instalações",Instituição Financeira Nacional,Caixa Econômica Federal,Real,2000000.0,PVL02.003170/2023-21,2804706.0,Em Análise,2024,8,22
Nova Olímpia,MT,Município,Operação Contratual Interna,Aditivo contratual,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2241287.83,PVL02.002525/2022-83,5106232.0,Em Análise,2022,7,26
Nova Resende,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1060000.0,PVL02.000161/2023-88,3145109.0,Em Análise,2023,4,3
Novais,SP,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de São Paulo,Real,5000000.0,PVL02.001601/2024-03,3533254.0,Em Análise,2024,8,26
Novo Brasil,GO,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Não Estatal,Companhia Energética de Goiás,Real,154470.18,17944.001779/2008-99,5215207.0,Em Análise,2009,1,13
Novo São Joaquim,MT,Município,Operação Contratual Interna,Regularização de Dívida - Outros,Outras,Pessoa Jurídica,Real,85500.0,17944.000451/2008-55,5106281.0,Em Análise,2008,7,16
Ouro Verde,SC,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1200000.0,17944.102909/2020-04,4211850.0,Em Análise,2020,7,13
Painel,SC,Município,Operação Contratual Interna,PMAT,Instituição Financeira Nacional,Banco Regional de Desenvolvimento do Extremo Sul,Real,1000000.0,PVL02.002321/2018-66,4211892.0,Em Análise,2020,5,5
Palhoça,SC,Município,Operação Contratual Externa (com garantia da União),Infraestrutura,Instituição Financeira Internacional,Fundo Financeiro para o Desenvolvimento da Bacia do Prata,Dólar dos EUA,11130000.0,17944.101059/2021-08,4211900.0,Em Análise,2023,3,31
Palmeira dos Índios,AL,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Estatal,Companhia Energética de Alagoas,Real,7176703.6,17944.000188/2015-23,2706307.0,Em Análise,2017,7,7
Paraisópolis,MG,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,3000000.0,PVL02.002033/2023-79,3147303.0,Em Análise,2023,10,23
Paranaguá,PR,Município,Operação Contratual Interna,PNAFM,Instituição Financeira Nacional,Caixa Econômica Federal,Real,6600000.0,PVL02.001126/2024-67,4118204.0,Em Análise,2024,9,3
Paranapuã,SP,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2500000.0,17944.104667/2021-66,3535903.0,Em Análise,2022,4,18
Paraúna,GO,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3000000.0,17944.103921/2021-17,5216403.0,Em Análise,2022,11,16
Paudalho,PE,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,10000000.0,17944.100932/2022-18,2610608.0,Em Análise,2023,7,28
Pé de Serra,BA,Município,Operação Contratual Interna,Regularização de Dívida - Água e Esgoto,Empresa Estatal,Empresa Baiana de Águas e Saneamento S/A,Real,115371.05,17944.001446/2011-65,2924058.0,Em Análise,2014,5,30
Peçanha,MG,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,80000.0,PVL02.007841/2019-46,3148608.0,Em Análise,2023,4,3
