Interessado,UF,Tipo de interessado,Tipo de operação,Finalidade,Tipo de credor,Credor,Moeda,Valor,Número do Processo/PVL,Código IBGE,Status,Ano,Mes,Dia
Santana do Jacaré,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,800000.0,PVL02.000325/2018-18,3158805.0,Em Análise,2018,5,4
Santana do Jacaré,MG,Município,Operação Contratual Interna,Saneamento básico,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,200000.0,PVL02.000383/2018-33,3158805.0,Em Análise,2018,5,4
Santana do Manhuaçu,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,2000000.0,PVL02.005188/2022-86,3158904.0,Em Análise,2022,6,10
Santo Amaro,BA,Município,Operação Contratual Interna,Regularização de Dívida - Água e Esgoto,Empresa Estatal,Empresa Baiana de Águas e Saneamento S/A,Real,376084.13,17944.001488/2014-49,2928604.0,Em Análise,2017,6,14
Santo Amaro da Imperatriz,SC,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,1900000.0,PVL02.004181/2023-28,4215703.0,Em Análise,2023,12,1
São Francisco de Paula,MG,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2000000.0,17944.104555/2019-91,3161205.0,Em Análise,2020,6,29
São José da Barra,MG,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Caixa Econômica Federal,Real,3500000.0,PVL02.006222/2021-59,3162948.0,Em Análise,2022,7,15
São José da Bela Vista,SP,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de São Paulo,Real,5000000.0,PVL02.005648/2022-76,3549508.0,Em Análise,2022,7,6
São Luís de Montes Belos,GO,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Não Estatal,Companhia Energética de Goiás,Real,636119.23,17944.000414/2011-42,5220108.0,Em Análise,2022,5,6
São Luís de Montes Belos,GO,Município,Operação Contratual Interna,Regularização de Dívida - Água e Esgoto,Empresa Estatal,Saneamento de Goiás,Real,616102.3,17944.000415/2011-97,5220108.0,Em Análise,2023,2,27
São Luís de Montes Belos,GO,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Não Estatal,Companhia Energética de Goiás,Real,571091.35,17944.000416/2011-31,5220108.0,Em Análise,2022,5,6
